Date,Price
2014-01-10,80.75
2014-01-13,80.61
2014-01-14,80.76
2014-01-15,81.14
2014-01-16,81.02
2014-01-17,81.36
2014-01-20,81.36
2014-01-21,81.23
2014-01-22,81.31
2014-01-23,80.53
2014-01-24,80.54
2014-01-27,80.61
2014-01-28,80.66
2014-01-29,80.58
2014-01-30,81.19
2014-01-31,81.4
2014-02-03,81.11
2014-02-04,81.22
2014-02-05,81.13
2014-02-06,81
2014-02-07,80.76
2014-02-10,80.73
2014-02-11,80.7
2014-02-12,80.74
2014-02-13,80.38
2014-02-14,80.18
2014-02-17,80.18
2014-02-18,80.05
2014-02-19,80.19
2014-02-20,80.32
2014-02-21,80.27
2014-02-24,80.22
2014-02-25,80.17
2014-02-26,80.46
2014-02-27,80.31
2014-02-28,79.72
2014-03-03,80.09
2014-03-04,80.18
2014-03-05,80.12
2014-03-06,79.67
2014-03-07,79.72
2014-03-10,79.77
2014-03-11,79.73
2014-03-12,79.61
2014-03-13,79.63
2014-03-14,79.44
2014-03-17,79.31
2014-03-18,79.54
2014-03-19,80.13
2014-03-20,80.35
2014-03-21,80.26
2014-03-24,80.08
2014-03-25,80.09
2014-03-26,80.17
2014-03-27,80.25
